title,관광지구분,소재지도로명주소,소재지지번주소,위도,경도,면적,공공편익시설정보,숙박시설정보,운동및오락시설정보,휴양및문화시설정보,접객시설정보,지원시설정보,지정일자,수용인원수,주차가능수,description,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
달성토성마을,관광지,대구광역시 서구 국채보상로 83길 21 (비산동) 일대,대구광역시 서구 비산동 404-5,35.87331563,128.5753765,45000,행복한 날뫼골 공방,,,채비천연염색공방+전양순자수박물관+마을도서관 햇빛따라+퍼팩토리소극장,달성토성마을 다락방,,2015.6.1,8000,26,집안에 있는 화분을 골목으로 꺼내놓으며 시작된 골목정원,053-663-2184,대구광역시 서구청,2022.6.28,3430000,대구광역시 서구
오수의견관광지,관광지,전라북도 임실군 오수면 충효로 2096-16,"전라북도 임실군 오수면 오수리 33, 임실군문화체육센터",35.54520338,127.3326779,117490,관리사무소+화장실(1동)+주차장,,,,,,2010.1.1,600,200,경관이 수려하고 편의시설이 있음,063-640-2941,전라북도 임실군청,2022.6.15,4760000,전라북도 임실군
사선대관광지,관광지,전라북도 임실군 관촌면 사선2길 68-7,"전라북도 임실군 관촌면 관촌리 222, 사선대 관리 사무소",35.672357,127.2746265,166000,관리사무소+화장실(4동)+주차장,,,,,,2004.1.1,1000,251,경관이 수려하고 편의시설이 있음,063-640-2921,전라북도 임실군청,2022.6.15,4760000,전라북도 임실군
율포해수욕장,관광지,전라남도 보성군 회천면 우암길 24,전라남도 보성군 회천면 동율리 678,34.67002926,127.0890241,34625,관광안내소+화장실+샤워실+주차장,휴양콘도미니엄,,해수욕장+해수녹차탕+오토캠핑리조트,,,2005.5.12,1500,100,"2012년 전국3대 우수해변, 2016년 해양수산부가 추천하는 올 여름 바다여행지 10선에 선정된 율포솔밭해변은 폭 60m와 길이 1.2km에 이르는 은빛 모래밭에 50~60년생의 소나무들이 숲을 이뤄 운치를 더한다.  공해없는 청정해역이므로 깨끗한 바다를 즐길 수 있고 1991년 국민관광지로 지정되어 각종 편의시설이 잘 갖춰져있다. 해수녹차 휴게센터와 해수풀장, 그리고 녹차탕까지 있어 어린이를 동반한 가족단위 피서지로 많은 관광객들이 여름철에 이곳을 찾고 있다.",061-850-5211,전라남도 보성군청,2022.6.28,4890000,전라남도 보성군
한국차문화공원,관광지,전라남도 보성군 보성읍 녹차로 775,전라남도 보성군 보성읍 봉산리 1197,34.71987643,127.0817099,90067,관광안내소+화장실+주차장,휴양콘도미니엄,,실내정원+한국차박물관+야외공연장+청소년수련원+천문과학관,,,2003.8.29,200,150,"한국차박물관+세계차나무식물원+보성차품평관+다목적 야외공연장+차만들어보는 곳+청소년 수련원 등이 푸른녹차밭과 어우러져 있어 관람 및 휴식, 체험이 가능하다. 특히 한국차박물관은 천혜의 차밭 경관과 인접하고 차에 대한 풍부한 컨텐츠를 담은 차 전문 박물관으로 우리 차 문화의 올바른 정립 및 연구와 보급의 구심점 역할을 한다.",061-852-0918,전라남도 보성군청,2022.6.28,4890000,전라남도 보성군
황령산관광지,관광지,부산광역시 수영구 황령산로 156,부산광역시 수영구 광안동 산 60-1,35.1552432,129.1029084,174890,관리사무소+화장실+주차장,,,,,,1987.3.2,10000,80,"부산광역시 금련산청소년수련원 일대이며, 부산 도심 속 천혜의 황령산 자락에 위치하고 있어 부산의 랜드마크인 광안리 해수욕장, 광안대교, 해운대를 한눈에 바라볼 수 있음.",051-610-3211,금련산청소년수련원,2022.6.28,3380000,부산광역시 수영구
고구려대장간마을,관광지,경기도 구리시 우미내길 41,경기도 구리시 아천동 산45-1,37.56080787,127.1109492,4928,관리사무소+화장실+주차장,,,,,,2008.4.25,200,100,국내유일의 고구려 박물관으로 아차산에서 출토된 유물을 전시하고 있으며 고구려모습을 보여주는 야외전시관을 운영,031-550-8355,경기도 구리시청,2022.6.2,3980000,경기도 구리시
동구릉,관광지,경기도 구리시 동구릉로 197,경기도 구리시 인창동 66-1,37.6171286,127.136334,1969675,관리사무소+화장실+주차장,,,,,,1970.5.26,5000,109,유네스코 세계유산이자 사적 제193호로 지정된 「구리 동구릉(東九陵)」은 ‘도성(都城)의 동(東)쪽에 있는 아홉(九) 기의 왕릉’이라 하여 동구릉이라 붙여짐,031-563-2909,문화재청,2022.6.2,3980000,경기도 구리시
운암제,관광지,,광주광역시 북구 운암동 1181-76,35.18259552,126.8817752,29000,주차장,,,,,,1981.8.20,100,10,중외공원과 운암제를 잇는 무지개다리를 볼 수 있음,062-510-1225,광주광역시 북구청,2022.1.1,6290000,광주광역시
우장춘기념관,관광지,부산광역시 동래구 우장춘로62번길 7(온천동),부산광역시 동래구 온천동 850-48,35.213515,129.0720181,1241,화장실,,,,,,1999.10.21,100,2,씨 없는 수박으로 우리 모두에게 잘 알려진 세계적 육종학자인 故우장춘박사의 탄생 1백주년을 맞아 그의 생전 연구 활동 유적지,051-550-6602,동래구 문화시설사업소,2022.6.8,3300000,부산광역시 동래구
장영실과학동산,관광지,부산광역시 동래구 동래역사관길 18(복천동),부산광역시 동래구 복천동 1-2,35.20916308,129.0896688,1177,화장실(2동),,,,,,2009.10.15,10000,50,"동래출신 조선시대 세종당시 최고의 과학자인 장영실이 만든 세계최고의 옛 천문의기 18종 19점을 동래읍성북문광장 1,177㎡에 시비 5억을 투입하여 2009. 6. 16.부터 2009.10.15.까지 4개월에 걸쳐 사업을 완료하였다.",051-550-6604,동래구 문화시설사업소,2022.6.8,3300000,부산광역시 동래구
박차정의사생가,관광지,부산광역시 동래구 명륜로 98번길 129-10(칠산동),부산광역시 동래구 칠산동 319-1,35.20169645,129.090397,379,화장실,,,,,,2005.7.8,50,0,"박차정의사 생가 복원사업은 항일독립운동가이자 한국여성해방운동의 선구자인 박차정의사의 남편 김원봉(임시정부국무위원, 북한노동상, 국가검열상)의 사회주의적 성향으로 군사정부시절 대우를 받지 못하다가 1995년 광복 40주년에 문민정부로부터 “대한민국 건국훈장 독립장”을 추서받은 지 10년만인 2005년 7월 8일 완공하였다.",051-860-7880,동래구 문화시설사업소,2022.6.8,3300000,부산광역시 동래구
금강공원,관광지,부산광역시 동래구 우장춘로 155 (온천동),부산광역시 동래구 온천동 291-1,35.21962513,129.075758,3093953,관리사무소+화장실+주차장,,,,,,1940.11.10,10000,216,"울창한 숲과 기암절벽, 골짜기 마다 흐르는 맑은 시냇물 등이 신선경에 들어선 느낌을 주며, 봄철부터 겨울철에 이르기까지 인적이 끊이지 않는 근린공원으로서 남녀노소 누구나가 즐길 수 있는 휴식처로 사랑을 받고 있다",051-860-7880,부산시설공단,2022.6.8,3300000,부산광역시 동래구
허심청,관광지,부산광역시 동래구 온천장로107번길 32 (온천동),부산광역시 동래구 온천동 137,35.221157,129.0826889,4300,안내데스크+화장실+주차장,,,,,,1991.10.1,3000,200,허심청은 종래의 위락 시설과는 달리 편안하고 즐거운 온천욕과 휴식 및 체력단련을 통한 건강증진을 추구하는 새로운 유형의 도시형 온천건강랜드이다,051-550-2200,호텔농심,2022.6.8,3300000,부산광역시 동래구
복천박물관,관광지,부산광역시 동래구 복천로 63(복천동),부산광역시 동래구 복천동 16-5,35.20877662,129.0911741,4000,안내데스크+화장실+주차장,,,,,,1996.7.26,1000,30,"삼한시대부터 삼국시대까지 부산의 역사를 보여주는 고고전문박물관으로서, 현재 7차에 걸친 발굴조사로 밝혀진 169기의 유구와 각종 토기 및 철기류 등의 유물을 종합 전시하고있다",051-550-0311,복천박물관,2022.6.8,3300000,부산광역시 동래구
충렬사,관광지,부산광역시 동래구 충렬대로 345,부산광역시 동래구 안락동 421-33,35.199577,129.0959922,95804,안내소+화장실(1동)+주차장,,,,,,1972.6.26,10000,10,충렬사는 임진왜란 때 순절한 동래부사 송상현 공을 모시기 위해 1605년(선조 38년) 당시의 동래부사 윤훤(尹暄)이 동래읍성 남문 근처의 농주산에 송공의 위패를 모신 송공사(宋公祠)를 지어 매년 제사를 지낸 것이 그 시초이다. 그 후 1624년(인조 2년) 선위사(宣慰使) 이민구의 청으로 충렬사라는 사액(賜額)이 내려짐에 따라 송공사는 충렬사로 이름이 바뀌었다.,051-523-4223,충렬사관리사무소,2022.6.8,3300000,부산광역시 동래구
해양자연사박물관,관광지,부산광역시 동래구 우장춘로 175 (온천동),부산광역시 동래구 온천동 산 13-1,35.2219498,129.075647,21538,안내소+화장실,,,,,,1994.6.10,1000,0,"1994년 6월 10일 동래구 온천동 금강공원 내에 개관한 부산해양자연사박물관은 전국 최초, 최대규모의 해양자연사분야의 전문박물관으로",051-593-4944,부산해양자연사박물관,2022.6.8,3300000,부산광역시 동래구
표충비,관광지,경상남도 밀양시 무안면 동부동안길4,,35.471582,128.6520376,7122,화장실,모텔,,,,,1972.2.12,100,50,표충비는 국가의 중대사가 있을때를 전후하여 비면에 자연적으러 땀방울이 맺혀서 마치 구슬처럼 흐르는데 이것을 두고 사람들은 나라와 겨례를 염려하는 사명대사의 영험이라고 신성시 하고 있음,055-359-5639,경상남도 밀양시청,2022.5.30,5360000,경상남도 밀양시
작원관지,관광지,경상남도 밀양시 삼랑진읍 작원관지길 77,경상남도 밀양시 삼랑진읍 검세리 135,35.39853126,128.8665763,16000,화장실,모텔,,,,,1990.1.1,100,50,김해와 낙동강 유역에 창궐하던 왜적들의 침공을 방비하던 요새지,055-359-5639,경상남도 밀양시청,2022.5.30,5360000,경상남도 밀양시
예림서원,관광지,경상남도 밀양시 부북면 예림서원로128,,35.46605971,128.7299691,41367,화장실,모텔+관광호텔,,,,,1988.1.1,100,50,예림서원은 영남유림의 종장인 점필재 김종직을 사숙하던 후학들의 교육기관,055-359-5639,경상남도 밀양시청,2022.5.30,5360000,경상남도 밀양시
밀양향교,관광지,경상남도 밀양시 밀양향교3길 19 (교동),,35.50660573,128.7545381,5068,화장실,모텔+관광호텔,,,,,1983.8.12,150,50,밀양향교는 고려시대(1100년경)때 창립되어 임진왜란때 불타 버린것을 1602년 부사 최기가 중건하여 지금까지 현존하고 있는 건물임,055-359-5639,경상남도 밀양시청,2022.5.30,5360000,경상남도 밀양시
밀양관아,관광지,경상남도 밀양시 중앙로348,,35.49429512,128.754331,7110,화장실,모텔+관광호텔,,,,,2010.4.1,200,50,"조선시대 밀양부 관아의 창건연대는 정확히 알 수 없으며, 1612년에 원유남 부사가 부임하면서 원래 자리에 관아를 복원 하였음",055-359-5639,경상남도 밀양시청,2022.5.30,5360000,경상남도 밀양시
밀양영남루,관광지,경상남도 밀양시 중앙로324,,35.49154522,128.755608,12931,화장실,모텔+관광호텔,,,,,1963.1.21,200,50,우리나라 3대 누각중에 하나이며 보물제147호임,055-359-5639,경상남도 밀양시청,2022.5.30,5360000,경상남도 밀양시
만어사,관광지,경상남도 밀양시 삼랑진읍 만어로776,,35.454932,128.846222,115149,화장실,펜션+모텔,,,,,1968.12.19,200,50,해발674m의 만어산 8부 능선에 위치하고 있는 만어사는 가라국 수로왕이 창건한 유서 깊은 사찰,055-359-5639,경상남도 밀양시청,2022.5.30,5360000,경상남도 밀양시
표충사,관광지,경상남도 밀양시 단장면 표충로1338,,35.532294,128.959045,29751,화장실,산장+펜션+모텔,,,,,1974.12.28,1000,200,표충사는 유생들을 교육하고 성현들이 제사하는 표충서원이 사찰영역안에있어 불교와유교가 한자리에 공존하는 특색있는 사찰,055-359-5639,경상남도 밀양시청,2022.5.30,5360000,경상남도 밀양시
부석사관광지,관광지,경상북도 영주시 부석면 부석사로 298,경상북도 영주시 부석면 북지리 301-4,36.99435088,128.6797054,242280,관광안내소+광장+화장실+보행자도로 등,,,피크닉마당+부석사 이야기길+의상대사 스토리원 등,상가 등,,2012.6.11,779,540,소백산 자연환경을 배경으로 한 천년고찰 부석사를 직접 참여하고 머무르는 다양한 체험 및 관광활동 제공,054-639-6617,경상북도 영주시청,2022.6.14,5090000,경상북도 영주시
장계관광지,관광지,충청북도 옥천군 안내면 장계1길 57,충청북도 옥천군 안내면 장계리 산7-1,36.37728877,127.6356203,198705,향토전시관(관리실)+화장실(3동)+주차장,없음,없음,공연장,없음,없음,1986.6.7,1000,250,"아름다운 대청호반이 한눈에 내려다보이며, 향토자료 및 시문학 작품을 감상할 수 있음",043-730-3721,충청북도 옥천군청,2022.6.9,4430000,충청북도 옥천군
금강하구둑관광지,관광지,충청남도 서천군 마서면 장산로 855번길 56-2,충청남도 서천군 마서면 도삼리 71-5,36.01993599,126.736726,175384,종합안내소+주차장+화장실,,,,,,1993.9.22,5000,486,"금강을 경계로 군산과 인접하고 있으며, 철새도래지로 유려한 철새군무를 볼수 있고 먹거리가 풍부함",041-950-4018,충청남도 서천군청,2022.6.16,4580000,충청남도 서천군
춘장대,관광지,충청남도 서천군 서면 춘장대길 20,충청남도 서천군 서면 도둔리 1319,36.16334922,126.5243355,298930,종합안내소+주차장+화장실+취사장,,,,,,1977.4.21,100000,300,국내 유일의 해송림 해수욕장으로 캠핑장과 조개잡이 체험등 다양한 즐길거리와 인근 동백정 마량항등 볼거리도 풍부,041-950-4091,충청남도 서천군청,2022.6.16,4580000,충청남도 서천군
온달관광지,관광지,충청북도 단양군 영춘면 온달로 23,충청북도 단양군 영춘면 하리 147,37.06295564,128.4929221,97567,화장실+주차장,,드라마세트장+온달동굴,온달전시관,,,1994.9.6,2000,265,온달관광지,043-423-8820,단양관광공사,2022.6.15,4480000,충청북도 단양군
천동관광지,관광지,충청북도 단양군 단양읍 다리안로 520,충청북도 단양군 단양읍 천동리 201,36.97401141,128.4165952,26594,화장실+주차장,야영장,물놀이장+천동동굴,,,,1984.11.28,2000,80,천동관광지,043-423-3589,단양관광공사,2022.6.15,4480000,충청북도 단양군
경산온천,관광지,경상북도 경산시 남산면 상대로116길 18,경상북도 경산시 남산면 상대리 528,35.78037855,128.7922287,262060,상대온천웨딩홀+커피,관광호텔,,교육문화회관,,,1987.12.15,100,100,"상대온천관광호텔은 경산 시내에서 자동차로 30분가량 걸리는 산속 마을에자리잡고 있어 처음 찾기는 어려우나, 수질이 좋아 한번 찾아온 사람은 반드시다시 찾아온다고 한다. 신라 시대부터 더운 바위샘온암정(溫巖井), 대추골 더운샘,온수골이라 불렸으며, 한겨울에도 물이 얼지 않아 빨래터로 이용했다. 수량이풍부한 데다 한국에서는 보기 드물게 알칼리성이 강한 황산천이다. 맑고 깨끗한온천수에 황산이온, 염소, 과망간산칼륨 등 2,500여 종의 각종 미네랄이 함유돼 있다.피부병·신경통·위장병·비뇨기질환·동맥경화증에 효과가 좋다고 알려져 있다. 특히위장병에 좋다고 해서 온천수를 그대로 마시는 사람들도 있다.객실은 양실과 한실로 구성돼 있으며, 연회장, 가족탕, 온천사우나, 토산품점, 예식홀,커피숍, 숲속 카페, 교육문화회관 등 부대시설을 갖추고 있다. 053)815-8001",053-810-5363,경상북도 경산시청,2022.6.7,5130000,경상북도 경산시
무극전적국민관광지,관광지,충청북도 음성군 음성읍 생음대로 594,충청북도 음성군 음성읍 소여리 897,36.95063812,127.6470132,18499,감우재전승기념관+화장실+주차장,,,,,,1985.6.8,100,15,6·25전쟁 당시 격전지였던 곳으로써 남한이 최초로 승전하여 국군의 사기를 드높였음,043-871-5930,충청북도 음성군청,2022.6.16,4470000,충청북도 음성군
우수영관광지,관광지,전라남도 해남군 문내면 관광레저로 1,전라남도 해남군 문내면 학동리 1021,34.57257374,126.3101147,250821,전망대+화장실,유스호스텔,인조구장+명량해상케이블카+스카이워크,해전사기념전시관+명량대첩비,,주차장,1986.1.4,3000,500,이순신장군의 명량대첩의 감동이 살아있는 관광지,061-530-5541,전라남도 해남군청,2022.6.13,4930000,전라남도 해남군
땅끝관광지,관광지,전라남도 해남군 송지면 땅끝마을길 100,전라남도 해남군 송지면 송호리 1158-5,34.29471348,126.5250233,665884,전망대+화장실,황토나라테마촌,땅끝모노레일+놀이터,오토캠핑장+땅끝해양자연사박물관+전망대,,주차장,1986.6.7,10000,800,한반도의 최남단이자 삼천리 금수강산의 시작점으로 희망을 상징하는 관광지,061-530-5544,전라남도 해남군청,2022.6.13,4930000,전라남도 해남군
경천대관광지,관광지,경상북도 상주시 사벌국면 경천로 652,경상북도 상주시 사벌국면 삼덕리 1-13,36.45722382,128.2478641,209000,관리사무소+주차장+화장실(5동)+관광안내센터+상하수도,경천대펜션,눈썰매장+써바이벌장,수영장+종합유원시설,관광식당,,1987.6.20,3000,213,"낙동강 1,300여 리 물길 중 강의 이름이 되었을 정도로 태고의 신비를 간직한 경천대는 깎아지른 절벽과 노송으로 이루어진 절경이 빼어난 곳으로, 하늘이 스스로 내렸다고 해 자천대라고도 함",054-537-7127,경상북도 상주시청,2022.6.16,5110000,경상북도 상주시
회상나루관광지,관광지,경상북도 상주시 중동면 갱다불길 97,경상북도 상주시 중동면 회상리 764,36.44187503,128.2657793,165000,관리사무소+주차장+화장실(2동)+상하수도,객주촌(펜션),학(철새) 전망대,문학관,주막촌(식당),,2013.12.30,1500,159,"낙동강 회상나루의 새로운 해석과 재현을 통해 주막, 역원 등을 소재로 전통한옥으로 지은 주막촌, 객주촌, 낙동강 문학관 등이 조성되어 관광객들에게 편의를 제공함",054-537-7126,경상북도 상주시청,2022.6.16,5110000,경상북도 상주시
이바구공작소,관광지,부산광역시 동구 망양로486번길 14-13,부산광역시 동구 초량동 875-2,35.11709939,129.0338233,265.77,화장실+주차장,,,,,,2013.2.21,15,4,산복도로 사람들의 삶과 지역문화를 전시하는 아카이브센터이다,051-440-4815,부산광역시 동구청 문화체육관광과,2022.6.9,3270000,부산광역시 동구
장기려더나눔센터,관광지,부산광역시 동구 영초윗길 48,부산광역시 동구 초량동 856-31,35.11853593,129.0326526,383.05,화장실+주차장,,,,,,2013.4.1,15,2,장기려박사의 뜻을 기리는 기념관이다,051-440-4815,부산광역시 동구청 문화체육관광과,2022.6.9,3270000,부산광역시 동구
이바구충전소,관광지,부산광역시 동구 영초윗길 25,부산광역시 동구 초량동 974-4,35.11735028,129.034686,76.62,화장실,,,,,,2020.1.1,5,0,"명란로드 명물, 명란파스타를 직접 만들어 시식할 수 있는 명란셀프쿠킹 클래스를 체험할 수 있다.",051-440-4815,부산광역시 동구청 문화체육관광과,2022.6.9,3270000,부산광역시 동구
168계단 부대시설,관광지,부산광역시 동구 영초윗길26번길 14,부산광역시 동구 초량동 994-520,35.1176995,129.0353474,179.6,화장실,,,,,,2016.4.20,0,0,부산항에서 산복도로를 잇는 가장 빠른 지름길이다,051-440-4815,부산광역시 동구청 문화체육관광과,2022.6.9,3270000,부산광역시 동구
김민부전망대,관광지,부산광역시 동구 영초윗길26번길 14,부산광역시 동구 초량동 994-520,35.1176995,129.0353474,179.6,전기시설,,,,,,2016.4.20,0,0,부산 동구출신의 김민부 시인을 기리기위해 만들어진 전망대이다,051-440-4815,부산광역시 동구청 문화체육관광과,2022.6.9,3270000,부산광역시 동구
유치환의 우체통,관광지,부산광역시 동구 망양로580번길 2,부산광역시 동구 초량동 827-44,35.12209588,129.0338423,111,화장실,,,,,,2013.3.8,10,0,청마유치환선생을 기리기 위해 지어진곳 3층에 그리움이있는 느린우체통이 명소이다,051-440-4815,부산광역시 동구청 문화체육관광과,2022.6.9,3270000,부산광역시 동구
소흥관(한중우호센터),관광지,부산광역시 동구 초량중로 36,부산광역시 동구 초량동 546,35.11507608,129.0375502,226.05,화장실,,,,,,2019.8.27,10,0,소흥시와 동구의 우호계약을 맺은 기념으로 만들어진곳으로 한복과 치파오체험을 할수있다,051-440-4815,부산광역시 동구청 문화체육관광과,2022.6.9,3270000,부산광역시 동구
만화체험관,관광지,부산광역시 동구 성북로 42-1,부산광역시 동구 범일동 1405-1,35.13778041,129.0497944,430,화장실+주차장,,,,,,2017.5.11,10,2,관광객의 볼거리와 재래시장 활성화를 위해 조성된 웹툰거리 내에 위치한 체험관,051-440-4815,부산광역시 동구청 문화체육관광과,2022.6.9,3270000,부산광역시 동구
안용복기념 부산포개항문화관,관광지,부산광역시 동구 증산로 100,부산광역시 동구 좌천동 722,35.13563677,129.0529467,113.26,화장실,,,,,,2014.2.12,15,0,부산포개항의 역사를 기억하고 독도를 수호한 안용복장군의 정신을 기리기위해 만들어진 문화관이다,051-440-4815,부산광역시 동구청 문화체육관광과,2022.6.9,3270000,부산광역시 동구
좌천동굴,관광지,부산광역시 동구 고관로185번길 1,부산광역시 동구 좌천동 567-2,35.13325838,129.0522683,61,전기시설,,,,,,2016.12.15,5,0,일제강점기때 방공호이자 한국전쟁때 피난처였던 역사를 가진 좌천동의 동굴,051-440-4815,부산광역시 동구청 문화체육관광과,2022.6.9,3270000,부산광역시 동구
만화카페,관광지,부산광역시 동구 성북로 31,부산광역시 동구 좌천동 892-8,35.13675143,129.0496096,159.92,화장실+주차장,,,,,,2021.9.14,10,1,"동구 전역의 산복도로, 북항을 열기구 형태의 VR로 체험할 수 있고, 웹툰 도서 읽을 수 있다.",051-440-4815,부산광역시 동구청 문화체육관광과,2022.6.9,3270000,부산광역시 동구
명란브랜드연구소,관광지,부산광역시 동구 영초윗길 22-1,부산광역시 동구 초량동 994-351,35.117117,129.035016,213.18,화장실,,,,,,2021.11.26,15,0,명란을 토대로 한 지역특화 미식관광 브랜딩 추진의 일환으로 지어진 공간이다.,051-440-4814,부산광역시 동구청 문화체육관광과,2022.6.9,3270000,부산광역시 동구
창원단감테마공원,관광지,경상남도 창원시 의창구 동읍 동읍로 359번길 27,,35.29915488,128.6632468,49000,화장실+주차장+파고라+초가동,,,,,,2016.6.23,600,80,"전국 최초로 단감을 소재로 조성한 테마공원으로 아이들이 뛰어놀 수 있는 드넓은 잔디광장에 대형 데크무대와 단감그네, 바람개비 조형물 등이 설치되어 있어 공원을 찾는 방문객들에게 다양한 즐길거리를 선사한다.",055-225-5611,경상남도 창원시청,2022.5.31,5670000,경상남도 창원시
창원의집,관광지,경상남도 창원시 의창구 사림로 16번길 59,,35.24444959,128.6813533,10209,관광안내소+화장실+주차장,,,,,,1985.10.15,150,40,순흥 안씨 안택영의 5대조인 퇴은 두철 선생이 거주하던 집으로 우리 고유의 한옥을 이해하고 조상들의 생활풍습과 지혜를 새롭게 조명할 수 있는 공간이다.,055-719-7800,창원문화재단,2022.5.31,5670000,경상남도 창원시
주남저수지,관광지,경상남도 창원시 의창구 동읍 주남로 101번길 26,,35.30732964,128.6779306,8980000,관리사무소+화장실+주차장+전망대+생태학습관+람사르문화관,,,,,,2002.10.21,200,44,"해마다 찾아오는 수만 마리의 철새들과 텃새들의 서식지로 다양한 수생식물, 수서곤충 등을 만나볼 수 있으며 철새들의 자유로운 곡예비행을 생생하게 관찰할 수 있는 곳이다. 천연기념물 16여종과 환경부 멸종위기 10여종 등 다양한 철새들을 직접 볼 수 있다.",055-225-2798,경상남도 창원시청,2022.5.31,5670000,경상남도 창원시
마금산온천,관광지,경상남도 창원시 의창구 북면 천주로 1167,,35.35464845,128.6094168,528000,화장실+주차장+족욕장+쉼터,,,,,,2015.7.29,4110,910,"마금산온천은 약알칼리성 수질로 평균 수온이 55℃ 이상을 유지하고 있으며, 나트륨, 철, 칼슘, 라듐 등 20여종의 광물질을 포함하고 있다. 운동욕장, 수영장, 노천탕 등 보양온천 시설을 갖추고 치료와 요양, 휴양이 가능하다.",055-225-3641,경상남도 창원시청,2022.5.31,5670000,경상남도 창원시
창원과학체험관,관광지,경상남도 창원시 성산구 충혼로 72번길 16,,35.230268,128.6617774,31565,화장실+주차장+카페테리아,,,,,,2010.1.5,200,106,미래 과학자의 소중한 꿈을 키워 나갈 수 있도록 자라나는 꿈나무들에게 과학을 쉽고 재미있게 즐기면서 배울 수 있는 과학체험관이다.,055-267-2676,경상남도 창원시청,2022.5.31,5670000,경상남도 창원시
마산해양레포츠센터,관광지,경상남도 창원시 마산합포구 제2부두로 56,,35.19796654,128.5759021,1092,강의실+탈의실+화장실,,,,,,2011.2.8,50,0,배를 타고 들어와 해양체험을 즐길 수 있는 이색적인 해양레포츠센터이다. 요일별 체험 프로그램을 진행하고 있으며,055-712-0454,창원시설관리공단,2022.5.31,5670000,경상남도 창원시
웅천도요지전시관,관광지,경상남도 창원시 진해구 두동도요로 198,,35.12738997,128.8155983,33654,화장실+주차장+체험공방,,,,,,2011.11.23,150,30,웅천도요지 출토품을 비롯한 80여점의 유물이 전시되어 있는 전시실과 도자기를 직접 만들어 볼 수 있는 체험공방을 운영하고 있다.,055-225-6859,경상남도 창원시청,2022.5.31,5670000,경상남도 창원시
진해해양레포츠센터,관광지,경상남도 창원시 진해구 천자로 160,,35.14129989,128.6883002,4400,주차장+화장실+탈의실+샤워실+강의실,,,,,,2011.2.8,100,27,"편리한 접근성과 저렴한 이용요금, 스쿨 전용 해상교육장 및 국가대표 출신 강사진 등 우수한 시설을 구비하고 있다. 쉽게 접하기 힘든 크루즈, 딩기요트, 윈드서핑, 카약, 래프팅보트, 바나나보트 등을 운영하고 있다.",055-712-0445,창원시설관리공단,2022.5.31,5670000,경상남도 창원시
최참판댁,관광지,경상남도 하동군 악양면 평사리길 66-7,경상남도 하동군 악양면 평사리 483,35.15590905,127.688408,9529,화장실(4동)+주차장,,,,,,2001.1.4,5000,230,소설 토지의 최참판댁을 복원하여 전통 건축물 등을 관람 할 수 있음,055-880-2381,경상남도 하동군,2022.6.15,5440000,경상남도 하동군
화개장터,관광지,경상남도 하동군 화개면 쌍계로 15,경상남도 하동군 화개면 탑리 726-46,35.18798946,127.6240666,8226,화장실(2동)+주차장,,,,,,2001.9.25,3000,300,영호남 교통의 길목이며 물류이동의 중심지로서 화개장터가 조성됨,055-880-2381,경상남도 하동군,2022.6.15,5440000,경상남도 하동군
삼성궁,관광지,경상남도 하동군 청암면 삼성궁길 2,경상남도 하동군 청암면 묵계리 1738-3,35.23870093,127.7054288,43967,화장실(2동)+주차장,,,,,,2001.12.3,3000,100,"환인, 환웅, 단군을 모신 궁이며 돌탑 등을 관람 할 수 있음",055-880-2381,경상남도 하동군,2022.6.15,5440000,경상남도 하동군
이병주문학관,관광지,경상남도 하동군 북천면 이명골길 14-28,경상남도 하동군 북천면 직전리 231,35.09720238,127.8942256,13535,화장실(2동)+주차장,,,,,,2008.4.24,500,40,문학인 이병주선생의 작품 및 작품활동을 엿볼수 있음,055-880-2361,경상남도 하동군,2022.6.15,5440000,경상남도 하동군
하동레일파크,관광지,경상남도 하동군 북천면 경서대로 2446-6,경상남도 하동군 북천면 직전리 1477-2,35.11333681,127.8929765,13000,화장실(1동)+주차장,,레일바이크,,,,2017.1.1,300,30,"1968년 2월 7일 보통역으로 영업을 개시, 2017년 현재는 하동레일파크가 오픈하고 레일바이크 매표소로 이용되고 있다. 주변 행사로는 5월에는 북천 꽃 양귀비 축제가 열리며, 가을이면 역 주변에 코스모스와 메밀꽃이 만발해 7월 부터 코스모스 메밀꽃 축제를 개최한다.",055-880-2371,경상남도 하동군,2022.6.15,5440000,경상남도 하동군
지리산역사관,관광지,경상남도 하동군 화개면 화개로 1438,경상남도 하동군 화개면 대성리 1389,35.2896912,127.646527,4311,화장실(1동)+주차장,,,,,,2002.6.3,100,15,지리산을 안고 살아온 우리조상들의 생활상 이해공간 제공,055-880-2821,경상남도 하동군,2022.6.15,5440000,경상남도 하동군
하동알프스레포츠,관광지,경상남도 하동군 금남면 경충로 493-9,경상남도 하동군 금남면 중평리 763,34.98260917,127.894714,10000,화장실(1동)+주차장,,짚와이어,,,,2017.7.21,150,133,"금오산 정상 해발 849m에서 경사도 27, 최대 시속 120km/h로, 마치 하늘에서 떨어져 내리는 듯한 짜릿함과 금오산, 다도해의 아름다운 정경을 함께 만끽하는 아시아 최장 3.42km의 활강체험 레포츠이다",055-880-2371,경상남도 하동군,2022.6.15,5440000,경상남도 하동군
